Date,Origin Movement ID,Origin Display Name,Destination Movement ID,Destination Display Name,Daily Mean Travel Time (Seconds),Daily Range - Lower Bound Travel Time (Seconds),Daily Range - Upper Bound Travel Time (Seconds),AM Mean Travel Time (Seconds),AM Range - Lower Bound Travel Time (Seconds),AM Range - Upper Bound Travel Time (Seconds),PM Mean Travel Time (Seconds),PM Range - Lower Bound Travel Time (Seconds),PM Range - Upper Bound Travel Time (Seconds),Midday Mean Travel Time (Seconds),Midday Range - Lower Bound Travel Time (Seconds),Midday Range - Upper Bound Travel Time (Seconds),Evening Mean Travel Time (Seconds),Evening Range - Lower Bound Travel Time (Seconds),Evening Range - Upper Bound Travel Time (Seconds),Early Morning Mean Travel Time (Seconds),Early Morning Range - Lower Bound Travel Time (Seconds),Early Morning Range - Upper Bound Travel Time (Seconds)
2/17/2019,3396,"The Palace Of Fine Arts, 3601 Lyon St, San Francisco, CA",3760,"Powell BART Station, Market St and Powell St, San Francisco, CA",1411,1177,1692,,,,1442,1180,1763,1451,1360,1548,,,,,,
2/17/2019,3394,"Fisherman's Wharf, San Francisco, CA",3760,"Powell BART Station, Market St and Powell St, San Francisco, CA",1064,812,1394,,,,1171,968,1417,1035,816,1312,1061,728,1547,776,674,894
2/17/2019,3760,"Powell BART Station, Market St and Powell St, San Francisco, CA",3792,"Oracle Park, 24 Willie Mays Plaza, San Francisco, CA",576,432,769,,,,,,,563,483,656,580,441,761,,,
2/18/2019,3603,"Embarcadero, San Francisco, CA",3394,"Fisherman's Wharf, San Francisco, CA",647,453,923,,,,749,495,1134,698,558,874,495,351,698,,,
2/18/2019,3394,"Fisherman's Wharf, San Francisco, CA",3603,"Embarcadero, San Francisco, CA",732,567,946,554,484,633,845,656,1089,712,591,857,,,,,,
2/18/2019,3603,"Embarcadero, San Francisco, CA",3792,"Oracle Park, 24 Willie Mays Plaza, San Francisco, CA",489,359,668,380,339,426,580,424,791,497,374,660,424,330,545,518,320,837
2/18/2019,3792,"Oracle Park, 24 Willie Mays Plaza, San Francisco, CA",3603,"Embarcadero, San Francisco, CA",398,305,520,311,264,367,409,309,542,412,337,502,422,275,648,285,248,326
2/18/2019,3603,"Embarcadero, San Francisco, CA",3396,"The Palace Of Fine Arts, 3601 Lyon St, San Francisco, CA",944,790,1128,,,,,,,,,,,,,,,
2/18/2019,3396,"The Palace Of Fine Arts, 3601 Lyon St, San Francisco, CA",3603,"Embarcadero, San Francisco, CA",1204,978,1483,,,,1222,1011,1477,,,,,,,,,
2/18/2019,3792,"Oracle Park, 24 Willie Mays Plaza, San Francisco, CA",3692,"2nd Street and Stevenson Street (Montgomery BART, San Francisco, CA",449,286,704,268,236,304,437,284,672,453,311,661,574,309,1066,,,
2/18/2019,3692,"2nd Street and Stevenson Street (Montgomery BART, San Francisco, CA",3394,"Fisherman's Wharf, 286-298 Jefferson St, San Francisco, CA",685,507,926,613,512,734,700,508,963,716,509,1007,648,514,816,,,
2/18/2019,3396,"The Palace Of Fine Arts, 3601 Lyon St, San Francisco, CA",3692,"2nd Street and Stevenson Street (Montgomery BART, San Francisco, CA",1342,1060,1700,,,,1466,1346,1596,,,,,,,,,
2/18/2019,3692,"2nd Street and Stevenson Street (Montgomery BART, San Francisco, CA",3396,"The Palace Of Fine Arts, 3601 Lyon St, San Francisco, CA",1058,869,1287,,,,,,,1111,933,1321,,,,,,
2/18/2019,3394,"Fisherman's Wharf, San Francisco, CA",3692,"2nd Street and Stevenson Street (Montgomery BART, San Francisco, CA",961,704,1311,717,554,928,1153,925,1437,986,768,1266,703,617,801,,,
2/18/2019,3692,"2nd Street and Stevenson Street (Montgomery BART, San Francisco, CA",3792,"Oracle Park, 24 Willie Mays Plaza, San Francisco, CA",364,248,536,268,227,317,373,262,530,416,273,632,346,236,507,320,227,451
2/18/2019,3394,"Fisherman's Wharf, San Francisco, CA",3760,"Powell BART Station, Market St and Powell St, San Francisco, CA",1050,792,1393,,,,1193,923,1542,1027,804,1310,858,688,1070,,,
2/18/2019,3760,"Powell BART Station, Market St and Powell St, San Francisco, CA",3792,"Oracle Park, 24 Willie Mays Plaza, San Francisco, CA",626,533,736,,,,,,,639,566,722,597,506,705,,,
2/18/2019,3792,"Oracle Park, 24 Willie Mays Plaza, San Francisco, CA",3760,"Powell BART Station, Market St and Powell St, San Francisco, CA",922,488,1742,,,,,,,,,,1425,683,2969,,,
2/18/2019,3760,"Powell BART Station, Market St and Powell St, San Francisco, CA",3396,"The Palace Of Fine Arts, 3601 Lyon St, San Francisco, CA",1026,959,1098,,,,,,,1035,964,1110,,,,,,
2/18/2019,3760,"Powell BART Station, Market St and Powell St, San Francisco, CA",3394,"Fisherman's Wharf, San Francisco, CA",807,629,1035,,,,929,736,1171,771,626,951,738,552,986,,,
2/18/2019,3396,"The Palace Of Fine Arts, 3601 Lyon St, San Francisco, CA",3760,"Powell BART Station, Market St and Powell St, San Francisco, CA",1279,1046,1563,,,,,,,,,,,,,,,
2/19/2019,3396,"The Palace Of Fine Arts, 3601 Lyon St, San Francisco, CA",3603,"Embarcadero, San Francisco, CA",1363,1062,1749,1410,1159,1717,,,,,,,,,,,,
2/19/2019,3603,"Embarcadero, San Francisco, CA",3394,"Fisherman's Wharf, San Francisco, CA",628,492,800,,,,691,546,874,646,516,810,572,455,719,,,
2/19/2019,3603,"Embarcadero, San Francisco, CA",3792,"Oracle Park, 24 Willie Mays Plaza, San Francisco, CA",625,401,976,573,445,737,1109,785,1567,687,459,1029,470,343,644,451,303,672
2/19/2019,3394,"Fisherman's Wharf, San Francisco, CA",3603,"Embarcadero, San Francisco, CA",886,633,1241,920,642,1317,1058,785,1424,679,569,809,726,558,943,,,
2/19/2019,3603,"Embarcadero, San Francisco, CA",3396,"The Palace Of Fine Arts, 3601 Lyon St, San Francisco, CA",1310,995,1725,,,,1431,1164,1758,,,,1261,913,1743,,,
2/19/2019,3792,"Oracle Park, 24 Willie Mays Plaza, San Francisco, CA",3603,"Embarcadero, San Francisco, CA",628,432,915,848,610,1178,825,591,1150,578,442,756,425,341,532,355,287,440
2/19/2019,3692,"2nd Street and Stevenson Street (Montgomery BART, San Francisco, CA",3792,"Oracle Park, 24 Willie Mays Plaza, San Francisco, CA",498,300,825,425,292,618,828,459,1492,522,380,718,460,274,771,289,239,349
2/19/2019,3792,"Oracle Park, 24 Willie Mays Plaza, San Francisco, CA",3692,"2nd Street and Stevenson Street (Montgomery BART, San Francisco, CA",649,378,1115,532,366,773,978,567,1686,561,374,840,490,303,791,269,242,299
2/19/2019,3394,"Fisherman's Wharf, San Francisco, CA",3692,"2nd Street and Stevenson Street (Montgomery BART, San Francisco, CA",1173,751,1832,974,764,1242,2256,1406,3620,1084,836,1405,865,688,1087,,,
2/19/2019,3692,"2nd Street and Stevenson Street (Montgomery BART, San Francisco, CA",3394,"Fisherman's Wharf, 286-298 Jefferson St, San Francisco, CA",761,520,1113,,,,932,627,1385,723,510,1023,732,517,1038,,,
2/19/2019,3692,"2nd Street and Stevenson Street (Montgomery BART, San Francisco, CA",3396,"The Palace Of Fine Arts, 3601 Lyon St, San Francisco, CA",1267,883,1818,,,,1200,771,1866,,,,1111,872,1414,,,
2/19/2019,3396,"The Palace Of Fine Arts, 3601 Lyon St, San Francisco, CA",3692,"2nd Street and Stevenson Street (Montgomery BART, San Francisco, CA",1546,1186,2015,1428,1174,1737,,,,1550,1285,1868,,,,,,
2/19/2019,3792,"Oracle Park, 24 Willie Mays Plaza, San Francisco, CA",3760,"Powell BART Station, Market St and Powell St, San Francisco, CA",851,609,1188,,,,975,709,1341,736,553,979,,,,,,
2/19/2019,3760,"Powell BART Station, Market St and Powell St, San Francisco, CA",3394,"Fisherman's Wharf, San Francisco, CA",843,636,1116,1055,787,1414,989,721,1356,693,602,798,793,627,1003,,,
2/19/2019,3396,"The Palace Of Fine Arts, 3601 Lyon St, San Francisco, CA",3760,"Powell BART Station, Market St and Powell St, San Francisco, CA",1455,1140,1858,,,,,,,,,,,,,,,
2/19/2019,3760,"Powell BART Station, Market St and Powell St, San Francisco, CA",3396,"The Palace Of Fine Arts, 3601 Lyon St, San Francisco, CA",1466,1082,1985,,,,,,,,,,,,,,,
2/19/2019,3394,"Fisherman's Wharf, San Francisco, CA",3760,"Powell BART Station, Market St and Powell St, San Francisco, CA",1059,810,1384,1013,794,1292,1363,1118,1661,933,780,1115,921,737,1152,,,
2/19/2019,3760,"Powell BART Station, Market St and Powell St, San Francisco, CA",3792,"Oracle Park, 24 Willie Mays Plaza, San Francisco, CA",649,495,850,673,479,947,,,,649,519,812,624,512,761,,,
2/20/2019,3396,"The Palace Of Fine Arts, 3601 Lyon St, San Francisco, CA",3603,"Embarcadero, San Francisco, CA",1380,1008,1888,1727,1318,2261,1316,1151,1503,,,,,,,,,
2/20/2019,3603,"Embarcadero, San Francisco, CA",3394,"Fisherman's Wharf, San Francisco, CA",685,478,980,,,,763,520,1121,746,573,973,628,435,908,,,
2/20/2019,3603,"Embarcadero, San Francisco, CA",3792,"Oracle Park, 24 Willie Mays Plaza, San Francisco, CA",601,399,904,584,460,741,847,628,1144,780,508,1197,451,341,596,414,322,532
2/20/2019,3792,"Oracle Park, 24 Willie Mays Plaza, San Francisco, CA",3603,"Embarcadero, San Francisco, CA",570,380,855,682,433,1073,632,455,878,600,409,882,406,293,561,362,308,426
2/20/2019,3394,"Fisherman's Wharf, San Francisco, CA",3603,"Embarcadero, San Francisco, CA",747,574,973,786,692,893,834,671,1037,790,596,1047,652,496,857,682,561,830
2/20/2019,3603,"Embarcadero, San Francisco, CA",3396,"The Palace Of Fine Arts, 3601 Lyon St, San Francisco, CA",1107,872,1404,,,,,,,,,,967,839,1114,,,
2/20/2019,3394,"Fisherman's Wharf, San Francisco, CA",3692,"2nd Street and Stevenson Street (Montgomery BART, San Francisco, CA",1102,750,1619,1100,796,1519,1389,1033,1867,1260,924,1717,938,607,1448,809,645,1014
2/20/2019,3692,"2nd Street and Stevenson Street (Montgomery BART, San Francisco, CA",3792,"Oracle Park, 24 Willie Mays Plaza, San Francisco, CA",480,320,719,435,325,581,566,380,841,609,375,990,431,293,636,456,307,677
2/20/2019,3692,"2nd Street and Stevenson Street (Montgomery BART, San Francisco, CA",3394,"Fisherman's Wharf, 286-298 Jefferson St, San Francisco, CA",758,578,995,,,,824,635,1069,803,636,1014,725,563,934,561,465,677
2/20/2019,3396,"The Palace Of Fine Arts, 3601 Lyon St, San Francisco, CA",3692,"2nd Street and Stevenson Street (Montgomery BART, San Francisco, CA",1511,1115,2049,1550,1212,1981,,,,,,,,,,,,
2/20/2019,3692,"2nd Street and Stevenson Street (Montgomery BART, San Francisco, CA",3396,"The Palace Of Fine Arts, 3601 Lyon St, San Francisco, CA",1326,1006,1747,,,,1599,1122,2280,,,,1177,971,1425,,,
2/20/2019,3792,"Oracle Park, 24 Willie Mays Plaza, San Francisco, CA",3692,"2nd Street and Stevenson Street (Montgomery BART, San Francisco, CA",587,362,951,601,421,857,617,410,928,650,381,1108,491,313,769,,,
2/20/2019,3760,"Powell BART Station, Market St and Powell St, San Francisco, CA",3394,"Fisherman's Wharf, San Francisco, CA",871,668,1134,950,761,1186,941,749,1182,817,645,1035,880,645,1200,,,
2/20/2019,3760,"Powell BART Station, Market St and Powell St, San Francisco, CA",3792,"Oracle Park, 24 Willie Mays Plaza, San Francisco, CA",663,485,905,537,451,639,,,,,,,596,488,728,,,
2/20/2019,3760,"Powell BART Station, Market St and Powell St, San Francisco, CA",3396,"The Palace Of Fine Arts, 3601 Lyon St, San Francisco, CA",1545,1092,2187,,,,,,,,,,,,,,,
2/20/2019,3394,"Fisherman's Wharf, San Francisco, CA",3760,"Powell BART Station, Market St and Powell St, San Francisco, CA",1047,632,1736,1195,922,1550,,,,1062,813,1388,886,441,1779,,,
2/20/2019,3792,"Oracle Park, 24 Willie Mays Plaza, San Francisco, CA",3760,"Powell BART Station, Market St and Powell St, San Francisco, CA",875,493,1553,,,,,,,1132,596,2148,,,,,,
2/20/2019,3396,"The Palace Of Fine Arts, 3601 Lyon St, San Francisco, CA",3760,"Powell BART Station, Market St and Powell St, San Francisco, CA",1791,1494,2145,,,,,,,,,,,,,,,
2/21/2019,3394,"Fisherman's Wharf, San Francisco, CA",3603,"Embarcadero, San Francisco, CA",808,599,1089,888,701,1124,819,634,1058,791,562,1113,733,558,963,,,
2/21/2019,3792,"Oracle Park, 24 Willie Mays Plaza, San Francisco, CA",3603,"Embarcadero, San Francisco, CA",707,449,1113,794,594,1063,1004,648,1556,638,446,912,467,341,639,366,305,438
2/21/2019,3603,"Embarcadero, San Francisco, CA",3792,"Oracle Park, 24 Willie Mays Plaza, San Francisco, CA",686,445,1059,561,440,716,1068,781,1460,744,509,1089,579,377,890,445,360,551
2/21/2019,3396,"The Palace Of Fine Arts, 3601 Lyon St, San Francisco, CA",3603,"Embarcadero, San Francisco, CA",1288,818,2026,1431,1193,1718,,,,,,,,,,,,
2/21/2019,3603,"Embarcadero, San Francisco, CA",3394,"Fisherman's Wharf, San Francisco, CA",682,511,912,786,701,882,690,489,973,695,541,894,638,491,829,,,
2/21/2019,3603,"Embarcadero, San Francisco, CA",3396,"The Palace Of Fine Arts, 3601 Lyon St, San Francisco, CA",1158,928,1444,,,,1227,995,1512,,,,974,808,1176,,,
2/21/2019,3396,"The Palace Of Fine Arts, 3601 Lyon St, San Francisco, CA",3692,"2nd Street and Stevenson Street (Montgomery BART, San Francisco, CA",1548,1211,1978,1549,1217,1971,,,,1632,1379,1931,,,,,,
2/21/2019,3692,"2nd Street and Stevenson Street (Montgomery BART, San Francisco, CA",3792,"Oracle Park, 24 Willie Mays Plaza, San Francisco, CA",610,344,1081,408,294,566,897,547,1471,786,464,1331,529,305,916,348,236,512
2/21/2019,3792,"Oracle Park, 24 Willie Mays Plaza, San Francisco, CA",3692,"2nd Street and Stevenson Street (Montgomery BART, San Francisco, CA",747,418,1334,533,372,765,1069,694,1647,686,409,1150,566,332,964,,,
2/21/2019,3692,"2nd Street and Stevenson Street (Montgomery BART, San Francisco, CA",3396,"The Palace Of Fine Arts, 3601 Lyon St, San Francisco, CA",1264,953,1675,,,,1371,1002,1876,1373,973,1937,1061,947,1189,,,
2/21/2019,3692,"2nd Street and Stevenson Street (Montgomery BART, San Francisco, CA",3394,"Fisherman's Wharf, 286-298 Jefferson St, San Francisco, CA",795,540,1170,1037,705,1526,887,639,1233,835,571,1220,737,542,1002,407,321,516
2/21/2019,3394,"Fisherman's Wharf, San Francisco, CA",3692,"2nd Street and Stevenson Street (Montgomery BART, San Francisco, CA",1217,833,1779,1039,759,1422,1774,1265,2488,1234,941,1619,924,738,1156,,,
2/21/2019,3760,"Powell BART Station, Market St and Powell St, San Francisco, CA",3792,"Oracle Park, 24 Willie Mays Plaza, San Francisco, CA",714,538,949,792,626,1001,,,,656,461,934,714,551,927,,,
2/21/2019,3760,"Powell BART Station, Market St and Powell St, San Francisco, CA",3394,"Fisherman's Wharf, San Francisco, CA",864,657,1137,,,,999,799,1249,760,607,953,861,641,1157,,,
2/21/2019,3760,"Powell BART Station, Market St and Powell St, San Francisco, CA",3396,"The Palace Of Fine Arts, 3601 Lyon St, San Francisco, CA",1023,788,1329,,,,,,,,,,,,,,,
2/21/2019,3396,"The Palace Of Fine Arts, 3601 Lyon St, San Francisco, CA",3760,"Powell BART Station, Market St and Powell St, San Francisco, CA",1312,1158,1487,,,,,,,,,,,,,,,
2/21/2019,3394,"Fisherman's Wharf, San Francisco, CA",3760,"Powell BART Station, Market St and Powell St, San Francisco, CA",1145,880,1491,1044,888,1227,1488,1215,1824,1067,830,1373,1010,822,1241,,,
2/21/2019,3792,"Oracle Park, 24 Willie Mays Plaza, San Francisco, CA",3760,"Powell BART Station, Market St and Powell St, San Francisco, CA",1029,656,1614,,,,1570,1223,2016,1008,722,1407,678,532,864,,,
2/22/2019,3394,"Fisherman's Wharf, San Francisco, CA",3603,"Embarcadero, San Francisco, CA",780,599,1015,842,620,1143,776,654,921,768,598,986,739,559,977,,,
2/22/2019,3603,"Embarcadero, San Francisco, CA",3396,"The Palace Of Fine Arts, 3601 Lyon St, San Francisco, CA",1217,982,1507,,,,,,,,,,,,,,,
2/22/2019,3603,"Embarcadero, San Francisco, CA",3792,"Oracle Park, 24 Willie Mays Plaza, San Francisco, CA",557,386,804,554,419,731,757,544,1054,633,471,849,413,292,584,398,307,516
2/22/2019,3396,"The Palace Of Fine Arts, 3601 Lyon St, San Francisco, CA",3603,"Embarcadero, San Francisco, CA",1198,995,1441,1151,1019,1301,,,,1247,1048,1484,1096,893,1345,,,
2/22/2019,3603,"Embarcadero, San Francisco, CA",3394,"Fisherman's Wharf, San Francisco, CA",678,523,880,662,544,805,765,601,975,663,512,859,561,455,691,,,
2/22/2019,3792,"Oracle Park, 24 Willie Mays Plaza, San Francisco, CA",3603,"Embarcadero, San Francisco, CA",523,384,711,772,604,986,558,421,739,499,385,646,411,325,519,417,322,539
2/22/2019,3396,"The Palace Of Fine Arts, 3601 Lyon St, San Francisco, CA",3692,"2nd Street and Stevenson Street (Montgomery BART, San Francisco, CA",1504,1200,1885,1418,1157,1738,,,,1763,1503,2068,1458,1159,1833,,,
2/22/2019,3692,"2nd Street and Stevenson Street (Montgomery BART, San Francisco, CA",3792,"Oracle Park, 24 Willie Mays Plaza, San Francisco, CA",456,288,722,379,270,532,573,358,918,616,358,1061,398,267,593,396,260,603
2/22/2019,3692,"2nd Street and Stevenson Street (Montgomery BART, San Francisco, CA",3396,"The Palace Of Fine Arts, 3601 Lyon St, San Francisco, CA",1195,975,1464,,,,1215,1011,1459,,,,,,,,,
2/22/2019,3792,"Oracle Park, 24 Willie Mays Plaza, San Francisco, CA",3692,"2nd Street and Stevenson Street (Montgomery BART, San Francisco, CA",562,357,883,679,453,1016,588,382,905,539,338,857,563,369,859,368,244,554
2/22/2019,3692,"2nd Street and Stevenson Street (Montgomery BART, San Francisco, CA",3394,"Fisherman's Wharf, 286-298 Jefferson St, San Francisco, CA",876,604,1271,888,685,1152,940,682,1295,937,648,1353,778,555,1090,,,
2/22/2019,3394,"Fisherman's Wharf, San Francisco, CA",3692,"2nd Street and Stevenson Street (Montgomery BART, San Francisco, CA",1051,758,1456,969,738,1271,1174,948,1453,1292,940,1777,833,680,1022,634,548,734
2/22/2019,3396,"The Palace Of Fine Arts, 3601 Lyon St, San Francisco, CA",3760,"Powell BART Station, Market St and Powell St, San Francisco, CA",1468,1231,1750,1344,1238,1458,,,,,,,,,,,,
2/22/2019,3760,"Powell BART Station, Market St and Powell St, San Francisco, CA",3394,"Fisherman's Wharf, San Francisco, CA",1005,697,1450,893,703,1133,1110,817,1508,1056,709,1575,850,632,1144,,,
2/22/2019,3760,"Powell BART Station, Market St and Powell St, San Francisco, CA",3396,"The Palace Of Fine Arts, 3601 Lyon St, San Francisco, CA",,,,,,,,,,,,,,,,,,
2/22/2019,3760,"Powell BART Station, Market St and Powell St, San Francisco, CA",3792,"Oracle Park, 24 Willie Mays Plaza, San Francisco, CA",653,481,887,632,489,818,,,,670,468,959,,,,,,
2/22/2019,3394,"Fisherman's Wharf, San Francisco, CA",3760,"Powell BART Station, Market St and Powell St, San Francisco, CA",1119,747,1676,979,861,1112,1285,670,2463,1098,847,1423,1006,830,1219,,,
2/22/2019,3792,"Oracle Park, 24 Willie Mays Plaza, San Francisco, CA",3760,"Powell BART Station, Market St and Powell St, San Francisco, CA",910,597,1386,,,,,,,921,628,1350,881,517,1502,,,
2/23/2019,3792,"Oracle Park, 24 Willie Mays Plaza, San Francisco, CA",3603,"Embarcadero, San Francisco, CA",471,343,646,345,292,409,550,400,756,428,328,559,404,316,516,,,
2/23/2019,3394,"Fisherman's Wharf, San Francisco, CA",3603,"Embarcadero, San Francisco, CA",812,579,1139,,,,966,739,1262,779,589,1031,726,577,915,519,276,978
2/23/2019,3603,"Embarcadero, San Francisco, CA",3792,"Oracle Park, 24 Willie Mays Plaza, San Francisco, CA",498,333,746,428,329,558,547,290,1030,506,375,683,509,358,722,408,324,513
2/23/2019,3396,"The Palace Of Fine Arts, 3601 Lyon St, San Francisco, CA",3603,"Embarcadero, San Francisco, CA",1378,1114,1705,,,,1381,1153,1654,,,,,,,,,
2/23/2019,3603,"Embarcadero, San Francisco, CA",3396,"The Palace Of Fine Arts, 3601 Lyon St, San Francisco, CA",1380,1005,1893,,,,,,,1291,1034,1612,1644,1079,2507,,,
2/23/2019,3603,"Embarcadero, San Francisco, CA",3394,"Fisherman's Wharf, San Francisco, CA",704,497,996,,,,728,531,998,694,529,910,725,456,1152,,,
2/23/2019,3792,"Oracle Park, 24 Willie Mays Plaza, San Francisco, CA",3692,"2nd Street and Stevenson Street (Montgomery BART, San Francisco, CA",452,300,682,361,255,510,,,,430,298,620,473,309,721,416,315,548
2/23/2019,3692,"2nd Street and Stevenson Street (Montgomery BART, San Francisco, CA",3792,"Oracle Park, 24 Willie Mays Plaza, San Francisco, CA",395,248,631,254,188,341,,,,407,260,637,463,293,731,334,230,485
2/23/2019,3692,"2nd Street and Stevenson Street (Montgomery BART, San Francisco, CA",3394,"Fisherman's Wharf, 286-298 Jefferson St, San Francisco, CA",788,571,1086,699,546,894,,,,773,602,992,818,623,1073,637,445,911
2/23/2019,3396,"The Palace Of Fine Arts, 3601 Lyon St, San Francisco, CA",3692,"2nd Street and Stevenson Street (Montgomery BART, San Francisco, CA",1555,1162,2080,,,,,,,1428,1189,1715,,,,,,
2/23/2019,3394,"Fisherman's Wharf, San Francisco, CA",3692,"2nd Street and Stevenson Street (Montgomery BART, San Francisco, CA",1267,782,2053,,,,1889,1464,2437,1087,781,1511,1393,950,2044,705,457,1088
2/23/2019,3692,"2nd Street and Stevenson Street (Montgomery BART, San Francisco, CA",3396,"The Palace Of Fine Arts, 3601 Lyon St, San Francisco, CA",1221,1033,1444,,,,,,,,,,,,,,,
2/23/2019,3396,"The Palace Of Fine Arts, 3601 Lyon St, San Francisco, CA",3760,"Powell BART Station, Market St and Powell St, San Francisco, CA",1604,1187,2167,,,,2031,1561,2642,1284,1097,1502,,,,,,
2/23/2019,3760,"Powell BART Station, Market St and Powell St, San Francisco, CA",3396,"The Palace Of Fine Arts, 3601 Lyon St, San Francisco, CA",1254,929,1692,,,,,,,,,,,,,,,
2/23/2019,3760,"Powell BART Station, Market St and Powell St, San Francisco, CA",3394,"Fisherman's Wharf, San Francisco, CA",1063,757,1491,,,,1335,977,1824,956,715,1278,1104,879,1387,,,
2/23/2019,3792,"Oracle Park, 24 Willie Mays Plaza, San Francisco, CA",3760,"Powell BART Station, Market St and Powell St, San Francisco, CA",1013,649,1581,,,,,,,772,591,1008,1290,821,2026,,,
2/23/2019,3394,"Fisherman's Wharf, San Francisco, CA",3760,"Powell BART Station, Market St and Powell St, San Francisco, CA",1367,898,2080,,,,1813,1210,2715,972,802,1177,1434,1017,2023,740,574,954
2/23/2019,3760,"Powell BART Station, Market St and Powell St, San Francisco, CA",3792,"Oracle Park, 24 Willie Mays Plaza, San Francisco, CA",740,495,1105,,,,,,,742,529,1040,,,,,,
2/24/2019,3792,"Oracle Park, 24 Willie Mays Plaza, San Francisco, CA",3603,"Embarcadero, San Francisco, CA",419,315,558,,,,388,298,504,430,326,567,414,301,571,,,
2/24/2019,3603,"Embarcadero, San Francisco, CA",3396,"The Palace Of Fine Arts, 3601 Lyon St, San Francisco, CA",1219,968,1534,,,,,,,,,,,,,,,
2/24/2019,3396,"The Palace Of Fine Arts, 3601 Lyon St, San Francisco, CA",3603,"Embarcadero, San Francisco, CA",1329,947,1866,,,,,,,,,,,,,,,
2/24/2019,3603,"Embarcadero, San Francisco, CA",3394,"Fisherman's Wharf, San Francisco, CA",685,480,977,,,,676,464,984,668,510,875,,,,,,
2/24/2019,3394,"Fisherman's Wharf, San Francisco, CA",3603,"Embarcadero, San Francisco, CA",721,569,914,,,,764,606,963,724,611,858,700,581,843,,,
2/24/2019,3603,"Embarcadero, San Francisco, CA",3792,"Oracle Park, 24 Willie Mays Plaza, San Francisco, CA",440,324,596,407,357,464,463,401,534,506,371,690,378,299,479,361,270,483
2/24/2019,3396,"The Palace Of Fine Arts, 3601 Lyon St, San Francisco, CA",3692,"2nd Street and Stevenson Street (Montgomery BART, San Francisco, CA",1359,1041,1775,1097,910,1323,1601,1311,1956,1560,1354,1796,,,,,,
2/24/2019,3692,"2nd Street and Stevenson Street (Montgomery BART, San Francisco, CA",3792,"Oracle Park, 24 Willie Mays Plaza, San Francisco, CA",391,253,602,335,173,649,457,289,723,381,258,561,358,251,510,405,265,617
2/24/2019,3394,"Fisherman's Wharf, San Francisco, CA",3692,"2nd Street and Stevenson Street (Montgomery BART, San Francisco, CA",874,662,1153,,,,999,747,1336,936,762,1150,734,611,882,645,532,783
2/24/2019,3692,"2nd Street and Stevenson Street (Montgomery BART, San Francisco, CA",3396,"The Palace Of Fine Arts, 3601 Lyon St, San Francisco, CA",1236,1026,1489,,,,,,,1285,1153,1433,,,,,,
2/24/2019,3692,"2nd Street and Stevenson Street (Montgomery BART, San Francisco, CA",3394,"Fisherman's Wharf, 286-298 Jefferson St, San Francisco, CA",685,513,915,619,498,768,734,604,892,772,585,1018,642,560,735,485,346,680
2/24/2019,3792,"Oracle Park, 24 Willie Mays Plaza, San Francisco, CA",3692,"2nd Street and Stevenson Street (Montgomery BART, San Francisco, CA",460,292,724,350,292,420,441,288,674,491,310,779,486,293,805,413,263,648
2/24/2019,3760,"Powell BART Station, Market St and Powell St, San Francisco, CA",3396,"The Palace Of Fine Arts, 3601 Lyon St, San Francisco, CA",,,,,,,,,,,,,,,,,,
2/24/2019,3760,"Powell BART Station, Market St and Powell St, San Francisco, CA",3394,"Fisherman's Wharf, San Francisco, CA",899,668,1210,799,554,1153,1000,780,1281,916,678,1236,832,653,1060,,,
2/24/2019,3792,"Oracle Park, 24 Willie Mays Plaza, San Francisco, CA",3760,"Powell BART Station, Market St and Powell St, San Francisco, CA",608,437,847,,,,,,,566,472,678,,,,,,
2/24/2019,3760,"Powell BART Station, Market St and Powell St, San Francisco, CA",3792,"Oracle Park, 24 Willie Mays Plaza, San Francisco, CA",807,554,1175,,,,,,,802,524,1227,,,,,,
2/24/2019,3396,"The Palace Of Fine Arts, 3601 Lyon St, San Francisco, CA",3760,"Powell BART Station, Market St and Powell St, San Francisco, CA",1342,1151,1565,,,,,,,1429,1208,1691,,,,,,
2/24/2019,3394,"Fisherman's Wharf, San Francisco, CA",3760,"Powell BART Station, Market St and Powell St, San Francisco, CA",983,784,1233,,,,1120,938,1337,970,823,1142,935,735,1190,898,680,1186
2/25/2019,3603,"Embarcadero, San Francisco, CA",3792,"Oracle Park, 24 Willie Mays Plaza, San Francisco, CA",850,463,1559,610,445,837,1714,1072,2742,910,504,1643,447,344,580,519,375,718
2/25/2019,3394,"Fisherman's Wharf, San Francisco, CA",3603,"Embarcadero, San Francisco, CA",734,505,1067,782,584,1047,805,433,1499,670,550,818,657,560,771,,,
2/25/2019,3792,"Oracle Park, 24 Willie Mays Plaza, San Francisco, CA",3603,"Embarcadero, San Francisco, CA",712,421,1205,784,536,1146,1219,795,1869,612,393,953,492,325,744,352,304,407
2/25/2019,3603,"Embarcadero, San Francisco, CA",3396,"The Palace Of Fine Arts, 3601 Lyon St, San Francisco, CA",1217,928,1595,,,,1399,1117,1750,1085,899,1309,878,742,1040,,,
2/25/2019,3603,"Embarcadero, San Francisco, CA",3394,"Fisherman's Wharf, San Francisco, CA",674,490,926,681,544,853,735,521,1038,608,455,814,613,471,798,,,
2/25/2019,3396,"The Palace Of Fine Arts, 3601 Lyon St, San Francisco, CA",3603,"Embarcadero, San Francisco, CA",1297,1121,1500,1377,1198,1582,,,,,,,,,,,,
